"USA, UK, Canada, Australia, New Zealand",Turkey,"Chile, Mexico, Spain, Colombia, Costa Rica","Germany, Austria",France,Italy,Poland,Belgium,Belgium,Czechia,Denmark,Estonia,Finland,Greece,Hungary,Iceland,Ireland,Israel,Japan,Korea,Latvia,Lithuania,Netherlands,Norway,Portugal,Slovak R.,Slovenia,Sweden,Switzerland
English,Turkish,Spanish,Deutsch,French,Italian,Polish,French ,Dutch,Czech,Danish,,,,,,,,,,,,,,,,,,
informality,Kayıtdışı,sector informal,,,,,,,,,,,,,,,,,,,,,,,,,,
,kayıt dışı,,,,,,,,,,,,,,,,,,,,,,,,,,,
tax evasion,vergi kaçırma,evasión de impuestos,Steuerhinterziehung,,,,,,,,,,,,,,,,,,,,,,,,,
,vergi kaçırmak,,,,,,,,,,,,,,,,,,,,,,,,,,,
evading taxes,vergiden kaçınma,evadir impuestos,,,,,,,,,,,,,,,,,,,,,,,,,,
informal sector,kayıt dışı ekonomi,sector oculto,informellen Sektor,,,,,,,,,,,,,,,,,,,,,,,,,
hidden economy,kayıtdışı ekonomi,oculto economía,Schwarzarbeit,,,,,,,,,,,,,,,,,,,,,,,,,
shadow economy,gölge ekonomi,economía sumergida,Schattenwirtschaft,,,,,,,,,,,,,,,,,,,,,,,,,
tax amnesty,vergi affı,Sin impuestos,,,,,,,,,,,,,,,,,,,,,,,,,,
no taxes,fatura kesmemek,sin recibos,,,,,,,,,,,,,,,,,,,,,,,,,,
no receipts,fiş kesmemek,,keine quittungen,,,,,,,,,,,,,,,,,,,,,,,,,
illegal electricity,kaçak elektrik,ilicito electricidad,,,,,,,,,,,,,,,,,,,,,,,,,,
contraband,kaçak üretim,ilega electricidad,,,,,,,,,,,,,,,,,,,,,,,,,,
hidden production,gizli üretim,,,,,,,,,,,,,,,,,,,,,,,,,,,
illegal production,yasadışı üretim,producción ilegal,,,,,,,,,,,,,,,,,,,,,,,,,,
hidden sector,kaçak sektör,pago insuficiente de impuestos,illegale arbeit,,,,,,,,,,,,,,,,,,,,,,,,,
not paying taxes,vergi ödememek,,keine Steuern zahlen,,,,,,,,,,,,,,,,,,,,,,,,,
tax underreporting,az vergi ödemek,,illegale Wirtschaft,,,,,,,,,,,,,,,,,,,,,,,,,
how to evade taxes,nasıl az vergi öderim,como evadir impuestos,wie man Steuern umgeht,,,,,,,,,,,,,,,,,,,,,,,,,
evade taxes,vergi ödememe,,Steuertrick,,,,,,,,,,,,,,,,,,,,,,,,,
underreporting taxes,kaçak fatura,,,,,,,,,,,,,,,,,,,,,,,,,,,
not issuing receipt,fiş yok,,Steuerunterzahlung,,,,,,,,,,,,,,,,,,,,,,,,,
not issuing receipts,fatura yok,no factura,,,,,,,,,,,,,,,,,,,,,,,,,,
not issuing invoice,fatura vermemek,no facturar,keine Rechnung ausstellen ,,,,,,,,,,,,,,,,,,,,,,,,,
no invoice,sahte fatura,no emitir recibos,keine Rechnung,,,,,,,,,,,,,,,,,,,,,,,,,
no bills,vergi sahtekarlığı,fraude fiscal,keine Rechnungen,,,,,,,,,,,,,,,,,,,,,,,,,
no invoices,kayıtdışı istihdam,,,,,,,,,,,,,,,,,,,,,,,,,,,
tax fraud,kayıt dışı istihdam,,,,,,,,,,,,,,,,,,,,,,,,,,,
informal employment,,,Steuern vermeidung,,,,,,,,,,,,,,,,,,,,,,,,,
,,trabajo sumergido,vermeidung der Zahlung,,,,,,,,,,,,,,,,,,,,,,,,,
